product_id,product category,product_weight_g,product_length_cm,product_height_cm,product_width_cm
1e9e8ef04dbcff4541ed26657ea517e5,perfumery,225,16,10,14
3aa071139cb16b67ca9e5dea641aaa2f,Art,1000,30,18,20
96bd76ec8810374ed1b65e291975717f,sport leisure,154,18,9,15
cef67bcfe19066a932b7673e239eb23d,babies,371,26,4,26
9dc1a7de274444849c219cff195d0b71,housewares,625,20,17,13
41d3672d4792049fa1779bb35283ed13,musical instruments,200,38,5,11
732bd381ad09e530fe0a5f457d81becb,Cool Stuff,18350,70,24,44
2548af3e6e77a690cf3eb6368e9ab61e,Furniture Decoration,900,40,8,40
37cc742be07708b53a98702e77a21a02,home appliances,400,27,13,17
8c92109888e8cdf9d66dc7e463025574,toys,600,17,10,12
14aa47b7fe5c25522b47b4b29c98dcb9,bed table bath,1100,16,10,16
03b63c5fc16691530586ae020c345514,babies,7150,50,19,45
cf55509ea8edaaac1d28fdb16e48fc22,musical instruments,250,17,7,17
7bb6f29c2be57716194f96496660c7c2,Furniture Decoration,600,68,11,13
eb31436580a610f202c859463d8c7415,CONSTRUCTION SECURITY TOOLS,200,17,7,17
3bb7f144022e6732727d8d838a7b13b3,sport leisure,800,16,2,11
6a2fb4dd53d2cdb88e0432f1284a004c,perfumery,400,27,5,20
a1b71017a84f92fd8da4aeefba108a24,computer accessories,900,40,15,20
a0736b92e52f6cead290e30b578413b6,Furniture Decoration,1700,100,7,15
f53103a77d9cf245e579ea37e5ec51f0,bed table bath,500,16,10,16
1c1890ba1779090cd54008a3c3302921,Furniture Decoration,2550,29,24,45
518ef5de2c2b3a255e326a4594ba15d9,bed table bath,800,36,8,16
e3e020af31d4d89d2602272b315c3f6e,HEALTH BEAUTY,75,21,7,13
8b41fbc2b984a12030090112324d1bc4,babies,500,20,13,13
d03bd02af9fff4b98f1c972315e5e9ef,Furniture Decoration,1800,40,10,30
8ba4f2a4ae695d26e5626c1bf710975e,housewares,900,50,5,50
f6574524b07d5bb753bab6f35abe2d06,Bags Accessories,3600,35,25,50
c78b767da00efb70c1bcccab87c28cd5,computer accessories,300,42,2,30
a0253d43394dd4da9a5d7b1f546f1a32,computer accessories,740,23,13,13
